Mod:Item:MetaData, Localized Name
appliedenergistics2:facade:0, Cable Facade - Primal Voidstone
appliedenergistics2:facade:0, Cable Facade - Primal Voidstone
appliedenergistics2:facade:0, Cable Facade - Primal Voidstone
appliedenergistics2:facade:0, Cable Facade - Primal Voidstone
appliedenergistics2:facade:0, Cable Facade - Primal Voidstone
appliedenergistics2:facade:0, Cable Facade - Runed Voidstone
appliedenergistics2:facade:0, Cable Facade - Runed Voidstone
appliedenergistics2:facade:0, Cable Facade - Runed Voidstone
appliedenergistics2:facade:0, Cable Facade - Runed Voidstone
appliedenergistics2:facade:0, Cable Facade - Runed Voidstone
appliedenergistics2:facade:0, Cable Facade - Runed Voidstone
appliedenergistics2:facade:0, Cable Facade - Runed Voidstone
appliedenergistics2:facade:0, Cable Facade - Runed Voidstone
appliedenergistics2:facade:0, Cable Facade - Runed Voidstone
appliedenergistics2:facade:0, Cable Facade - Runed Voidstone
appliedenergistics2:facade:0, Cable Facade - Runed Voidstone
appliedenergistics2:facade:0, Cable Facade - Runed Voidstone
appliedenergistics2:facade:0, Cable Facade - Runed Voidstone
appliedenergistics2:facade:0, Cable Facade - Runed Voidstone
appliedenergistics2:facade:0, Cable Facade - Runed Voidstone
appliedenergistics2:facade:0, Cable Facade - Black Wool
appliedenergistics2:facade:0, Cable Facade - Black Wool
appliedenergistics2:facade:0, Cable Facade - Red Wool
appliedenergistics2:facade:0, Cable Facade - Red Wool
appliedenergistics2:facade:0, Cable Facade - Green Wool
appliedenergistics2:facade:0, Cable Facade - Green Wool
appliedenergistics2:facade:0, Cable Facade - Brown Wool
appliedenergistics2:facade:0, Cable Facade - Brown Wool
appliedenergistics2:facade:0, Cable Facade - Blue Wool
appliedenergistics2:facade:0, Cable Facade - Blue Wool
appliedenergistics2:facade:0, Cable Facade - Purple Wool
appliedenergistics2:facade:0, Cable Facade - Purple Wool
appliedenergistics2:facade:0, Cable Facade - Cyan Wool
appliedenergistics2:facade:0, Cable Facade - Cyan Wool
appliedenergistics2:facade:0, Cable Facade - Light Gray Wool
appliedenergistics2:facade:0, Cable Facade - Light Gray Wool
appliedenergistics2:facade:0, Cable Facade - Gray Wool
appliedenergistics2:facade:0, Cable Facade - Gray Wool
appliedenergistics2:facade:0, Cable Facade - Pink Wool
appliedenergistics2:facade:0, Cable Facade - Pink Wool
appliedenergistics2:facade:0, Cable Facade - Lime Wool
appliedenergistics2:facade:0, Cable Facade - Lime Wool
appliedenergistics2:facade:0, Cable Facade - Yellow Wool
appliedenergistics2:facade:0, Cable Facade - Yellow Wool
appliedenergistics2:facade:0, Cable Facade - Light Blue Wool
appliedenergistics2:facade:0, Cable Facade - Light Blue Wool
appliedenergistics2:facade:0, Cable Facade - Magenta Wool
appliedenergistics2:facade:0, Cable Facade - Magenta Wool
appliedenergistics2:facade:0, Cable Facade - Orange Wool
appliedenergistics2:facade:0, Cable Facade - Orange Wool
appliedenergistics2:facade:0, Cable Facade - Wool
appliedenergistics2:facade:0, Cable Facade - Wool
appliedenergistics2:facade:0, Cable Facade - Wyvern Lair Stone
appliedenergistics2:facade:0, Cable Facade - Ogre Lair Stone
appliedenergistics2:facade:0, Cable Facade - Wyvern Lair Grass
appliedenergistics2:facade:0, Cable Facade - Ogre Lair Grass
appliedenergistics2:facade:0, Cable Facade - Wyvern Lair Dirt
appliedenergistics2:facade:0, Cable Facade - Ogre Lair Dirt
appliedenergistics2:facade:0, Cable Facade - Wyvern Lair Log
appliedenergistics2:facade:0, Cable Facade - Ogre Lair Log
appliedenergistics2:facade:0, Cable Facade - Wyvern Lair Wood Plank
appliedenergistics2:facade:0, Cable Facade - Ogre Lair Wood Plank
appliedenergistics2:facade:0, Cable Facade - Oak Trim
appliedenergistics2:facade:0, Cable Facade - Spruce Trim
appliedenergistics2:facade:0, Cable Facade - Birch Trim
appliedenergistics2:facade:0, Cable Facade - Jungle Trim
appliedenergistics2:facade:0, Cable Facade - Acacia Trim
appliedenergistics2:facade:0, Cable Facade - Dark Oak Trim
appliedenergistics2:facade:0, Cable Facade - Lamented End Stone
appliedenergistics2:facade:0, Cable Facade - Blue Ice
appliedenergistics2:facade:0, Cable Facade - Coquina
appliedenergistics2:facade:0, Cable Facade - Coquina Brick
appliedenergistics2:facade:0, Cable Facade - Coquina Brick Slab
appliedenergistics2:facade:0, Cable Facade - Dried Dulse Block
appliedenergistics2:facade:0, Cable Facade - Tube Coral Block
appliedenergistics2:facade:0, Cable Facade - Brain Coral Block
appliedenergistics2:facade:0, Cable Facade - Bubble Coral Block
appliedenergistics2:facade:0, Cable Facade - Fire Coral Block
appliedenergistics2:facade:0, Cable Facade - Horn Coral Block
appliedenergistics2:facade:0, Cable Facade - Dead Tube Coral Block
appliedenergistics2:facade:0, Cable Facade - Dead Brain Coral Block
appliedenergistics2:facade:0, Cable Facade - Dead Bubble Coral Block
appliedenergistics2:facade:0, Cable Facade - Dead Fire Coral Block
appliedenergistics2:facade:0, Cable Facade - Dead Horn Coral Block
appliedenergistics2:facade:0, Cable Facade - Dried Kelp Block
appliedenergistics2:facade:0, Cable Facade - Palm Leaves
appliedenergistics2:facade:0, Cable Facade - Flowering Palm Leaves
appliedenergistics2:facade:0, Cable Facade - Palm Log
appliedenergistics2:facade:0, Cable Facade - Palm Wood
appliedenergistics2:facade:0, Cable Facade - Stripped Palm Log
appliedenergistics2:facade:0, Cable Facade - Stripped Palm Wood
appliedenergistics2:facade:0, Cable Facade - Palm Planks
appliedenergistics2:facade:0, Cable Facade - Palm Slab
appliedenergistics2:facade:0, Cable Facade - Shelly Sand
appliedenergistics2:facade:0, Cable Facade - Salt Block
appliedenergistics2:facade:0, Cable Facade - Blue Ice
appliedenergistics2:facade:0, Cable Facade - Block of Dried Kelp
appliedenergistics2:facade:0, Cable Facade - Pumpkin
appliedenergistics2:facade:0, Cable Facade - Block of Tube Coral
appliedenergistics2:facade:0, Cable Facade - Block of Brain Coral
appliedenergistics2:facade:0, Cable Facade - Block of Bubble Coral
appliedenergistics2:facade:0, Cable Facade - Block of Fire Coral
appliedenergistics2:facade:0, Cable Facade - Block of Horn Coral
appliedenergistics2:facade:0, Cable Facade - Ochre Froglight
appliedenergistics2:facade:0, Cable Facade - Rooted Dirt
appliedenergistics2:facade:0, Cable Facade - Mud
appliedenergistics2:facade:0, Cable Facade - Packed Mud
appliedenergistics2:facade:0, Cable Facade - Packed Mud Bricks
appliedenergistics2:facade:0, Cable Facade - Smooth Stone
appliedenergistics2:facade:0, Cable Facade - Smooth Sandstone
appliedenergistics2:facade:0, Cable Facade - Smooth Red Sandstone
appliedenergistics2:facade:0, Cable Facade - Smooth Block of Quartz
appliedenergistics2:facade:0, Cable Facade - Smooth Block of Lapis Lazuli
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:encoded_pattern, Encoded Pattern
appliedenergistics2:paint_ball:0, Paint Ball - White
appliedenergistics2:paint_ball:1, Paint Ball - Orange
appliedenergistics2:paint_ball:2, Paint Ball - Magenta
appliedenergistics2:paint_ball:3, Paint Ball - Light Blue
appliedenergistics2:paint_ball:4, Paint Ball - Yellow
appliedenergistics2:paint_ball:5, Paint Ball - Lime
appliedenergistics2:paint_ball:6, Paint Ball - Pink
appliedenergistics2:paint_ball:7, Paint Ball - Gray
appliedenergistics2:paint_ball:8, Paint Ball - Light Gray
appliedenergistics2:paint_ball:9, Paint Ball - Cyan
appliedenergistics2:paint_ball:10, Paint Ball - Purple
appliedenergistics2:paint_ball:11, Paint Ball - Blue
appliedenergistics2:paint_ball:12, Paint Ball - Brown
appliedenergistics2:paint_ball:13, Paint Ball - Green
appliedenergistics2:paint_ball:14, Paint Ball - Red
appliedenergistics2:paint_ball:15, Paint Ball - Black
appliedenergistics2:paint_ball:20, Paint Ball - Lumen White
appliedenergistics2:paint_ball:21, Paint Ball - Lumen Orange
appliedenergistics2:paint_ball:22, Paint Ball - Lumen Magenta
appliedenergistics2:paint_ball:23, Paint Ball - Lumen Light Blue
appliedenergistics2:paint_ball:24, Paint Ball - Lumen Yellow
appliedenergistics2:paint_ball:25, Paint Ball - Lumen Lime
appliedenergistics2:paint_ball:26, Paint Ball - Lumen Pink
appliedenergistics2:paint_ball:27, Paint Ball - Lumen Gray
appliedenergistics2:paint_ball:28, Paint Ball - Lumen Light Gray
appliedenergistics2:paint_ball:29, Paint Ball - Lumen Cyan
appliedenergistics2:paint_ball:30, Paint Ball - Lumen Purple
appliedenergistics2:paint_ball:31, Paint Ball - Lumen Blue
appliedenergistics2:paint_ball:32, Paint Ball - Lumen Brown
appliedenergistics2:paint_ball:33, Paint Ball - Lumen Green
appliedenergistics2:paint_ball:34, Paint Ball - Lumen Red
appliedenergistics2:paint_ball:35, Paint Ball - Lumen Black
appliedenergistics2:dummy_fluid_item, item.appliedenergistics2.dummy_fluid_item.name
appliedenergistics2:material:28, Advanced Card
appliedenergistics2:material:44, Annihilation Core
appliedenergistics2:material:25, Basic Card
appliedenergistics2:material:52, Blank Pattern
appliedenergistics2:material:23, Calculation Processor
appliedenergistics2:material:13, Inscriber Calculation Press
appliedenergistics2:material:16, Printed Calculation Circuit
appliedenergistics2:material:27, Capacity Card
appliedenergistics2:material:53, Crafting Card
appliedenergistics2:material:29, Fuzzy Card
appliedenergistics2:material:31, Inverter Card
appliedenergistics2:material:60, Magnet Card
appliedenergistics2:material:58, Pattern Expansion Card
appliedenergistics2:material:59, Quantum Link Card
appliedenergistics2:material:26, Redstone Card
appliedenergistics2:material:30, Acceleration Card
appliedenergistics2:material:34, §d128³§r Spatial Component
appliedenergistics2:material:37, §a16k§r ME Storage Component
appliedenergistics2:material:33, §916³§r Spatial Component
appliedenergistics2:material:35, §61k§r ME Storage Component
appliedenergistics2:material:32, §62³§r Spatial Component
appliedenergistics2:material:36, §e4k§r ME Storage Component
appliedenergistics2:material:38, §b64k§r ME Storage Component
appliedenergistics2:material:0, Certus Quartz Crystal
appliedenergistics2:material:1, Charged Certus Quartz Crystal
appliedenergistics2:material:2, Certus Quartz Dust
appliedenergistics2:material:39, ME Storage Housing
appliedenergistics2:material:46, Ender Dust
appliedenergistics2:material:24, Engineering Processor
appliedenergistics2:material:14, Inscriber Engineering Press
appliedenergistics2:material:17, Printed Engineering Circuit
appliedenergistics2:material:4, Flour
appliedenergistics2:material:56, §a16k§r ME Fluid Storage Component
appliedenergistics2:material:54, §61k§r ME Fluid Storage Component
appliedenergistics2:material:55, §e4k§r ME Fluid Storage Component
appliedenergistics2:material:57, §b64k§r ME Fluid Storage Component
appliedenergistics2:material:7, Fluix Crystal
appliedenergistics2:material:8, Fluix Dust
appliedenergistics2:material:9, Fluix Pearl
appliedenergistics2:material:43, Formation Core
appliedenergistics2:material:51, Gold Dust
appliedenergistics2:material:49, Iron Dust
appliedenergistics2:material:22, Logic Processor
appliedenergistics2:material:15, Inscriber Logic Press
appliedenergistics2:material:18, Printed Logic Circuit
appliedenergistics2:material:6, Matter Ball
appliedenergistics2:material:21, Inscriber Name Press
appliedenergistics2:material:3, Nether Quartz Dust
appliedenergistics2:material:10, Pure Certus Quartz Crystal
appliedenergistics2:material:12, Pure Fluix Crystal
appliedenergistics2:material:11, Pure Nether Quartz Crystal
appliedenergistics2:material:48, Quantum Entangled Singularity
appliedenergistics2:material:5, Silicon
appliedenergistics2:material:19, Inscriber Silicon Press
appliedenergistics2:material:20, Printed Silicon
appliedenergistics2:material:47, Singularity
appliedenergistics2:material:45, Sky Stone Dust
appliedenergistics2:material:41, Wireless Receiver
appliedenergistics2:material:42, Wireless Booster
appliedenergistics2:material:40, Wooden Gear
appliedenergistics2:part:300, ME Annihilation Plane
appliedenergistics2:part:120, Cable Anchor
appliedenergistics2:part:20, ME Covered Cable - White
appliedenergistics2:part:21, ME Covered Cable - Orange
appliedenergistics2:part:22, ME Covered Cable - Magenta
appliedenergistics2:part:23, ME Covered Cable - Light Blue
appliedenergistics2:part:24, ME Covered Cable - Yellow
appliedenergistics2:part:25, ME Covered Cable - Lime
appliedenergistics2:part:26, ME Covered Cable - Pink
appliedenergistics2:part:27, ME Covered Cable - Gray
appliedenergistics2:part:28, ME Covered Cable - Light Gray
appliedenergistics2:part:29, ME Covered Cable - Cyan
appliedenergistics2:part:30, ME Covered Cable - Purple
appliedenergistics2:part:31, ME Covered Cable - Blue
appliedenergistics2:part:32, ME Covered Cable - Brown
appliedenergistics2:part:33, ME Covered Cable - Green
appliedenergistics2:part:34, ME Covered Cable - Red
appliedenergistics2:part:35, ME Covered Cable - Black
appliedenergistics2:part:36, ME Covered Cable - Fluix
appliedenergistics2:part:500, ME Dense Covered Cable - White
appliedenergistics2:part:501, ME Dense Covered Cable - Orange
appliedenergistics2:part:502, ME Dense Covered Cable - Magenta
appliedenergistics2:part:503, ME Dense Covered Cable - Light Blue
appliedenergistics2:part:504, ME Dense Covered Cable - Yellow
appliedenergistics2:part:505, ME Dense Covered Cable - Lime
appliedenergistics2:part:506, ME Dense Covered Cable - Pink
appliedenergistics2:part:507, ME Dense Covered Cable - Gray
appliedenergistics2:part:508, ME Dense Covered Cable - Light Gray
appliedenergistics2:part:509, ME Dense Covered Cable - Cyan
appliedenergistics2:part:510, ME Dense Covered Cable - Purple
appliedenergistics2:part:511, ME Dense Covered Cable - Blue
appliedenergistics2:part:512, ME Dense Covered Cable - Brown
appliedenergistics2:part:513, ME Dense Covered Cable - Green
appliedenergistics2:part:514, ME Dense Covered Cable - Red
appliedenergistics2:part:515, ME Dense Covered Cable - Black
appliedenergistics2:part:516, ME Dense Covered Cable - Fluix
appliedenergistics2:part:60, ME Dense Smart Cable - White
appliedenergistics2:part:61, ME Dense Smart Cable - Orange
appliedenergistics2:part:62, ME Dense Smart Cable - Magenta
appliedenergistics2:part:63, ME Dense Smart Cable - Light Blue
appliedenergistics2:part:64, ME Dense Smart Cable - Yellow
appliedenergistics2:part:65, ME Dense Smart Cable - Lime
appliedenergistics2:part:66, ME Dense Smart Cable - Pink
appliedenergistics2:part:67, ME Dense Smart Cable - Gray
appliedenergistics2:part:68, ME Dense Smart Cable - Light Gray
appliedenergistics2:part:69, ME Dense Smart Cable - Cyan
appliedenergistics2:part:70, ME Dense Smart Cable - Purple
appliedenergistics2:part:71, ME Dense Smart Cable - Blue
appliedenergistics2:part:72, ME Dense Smart Cable - Brown
appliedenergistics2:part:73, ME Dense Smart Cable - Green
appliedenergistics2:part:74, ME Dense Smart Cable - Red
appliedenergistics2:part:75, ME Dense Smart Cable - Black
appliedenergistics2:part:76, ME Dense Smart Cable - Fluix
appliedenergistics2:part:0, ME Glass Cable - White
appliedenergistics2:part:1, ME Glass Cable - Orange
appliedenergistics2:part:2, ME Glass Cable - Magenta
appliedenergistics2:part:3, ME Glass Cable - Light Blue
appliedenergistics2:part:4, ME Glass Cable - Yellow
appliedenergistics2:part:5, ME Glass Cable - Lime
appliedenergistics2:part:6, ME Glass Cable - Pink
appliedenergistics2:part:7, ME Glass Cable - Gray
appliedenergistics2:part:8, ME Glass Cable - Light Gray
appliedenergistics2:part:9, ME Glass Cable - Cyan
appliedenergistics2:part:10, ME Glass Cable - Purple
appliedenergistics2:part:11, ME Glass Cable - Blue
appliedenergistics2:part:12, ME Glass Cable - Brown
appliedenergistics2:part:13, ME Glass Cable - Green
appliedenergistics2:part:14, ME Glass Cable - Red
appliedenergistics2:part:15, ME Glass Cable - Black
